date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:40:57	30402/30402	---M--	200	added ('OK')	image/jpeg	etag:%22628f20ae-76c2%22	https://infobloom.site/wp-content/uploads/2022/05/From-Picasso-Frida-Kahlo-NFTs-to-a-coin-the-best.jpeg	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-content/uploads/2022/05/From-Picasso-Frida-Kahlo-NFTs-to-a-coin-the-best.jpg	(from https://infobloom.site/from-picasso-frida-kahlo-nfts-to-a-coin-the-best-of-2021-auctions/)
19:40:59	28329/28329	---M--	200	added ('OK')	image/jpeg	etag:%22628f20b0-6ea9%22	https://infobloom.site/wp-content/uploads/2022/05/1653547184_850_From-Picasso-Frida-Kahlo-NFTs-to-a-coin-the-best.jpg	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-content/uploads/2022/05/1653547184_850_From-Picasso-Frida-Kahlo-NFTs-to-a-coin-the-best.jpg	(from https://infobloom.site/from-picasso-frida-kahlo-nfts-to-a-coin-the-best-of-2021-auctions/)
19:41:00	98557/98557	---M--	200	added ('OK')	image/jpeg	etag:%22628f20b0-180fd%22	https://infobloom.site/wp-content/uploads/2022/05/1653547184_306_From-Picasso-Frida-Kahlo-NFTs-to-a-coin-the-best.jpg	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-content/uploads/2022/05/1653547184_306_From-Picasso-Frida-Kahlo-NFTs-to-a-coin-the-best.jpg	(from https://infobloom.site/from-picasso-frida-kahlo-nfts-to-a-coin-the-best-of-2021-auctions/)
19:41:00	51240/51240	---M--	200	added ('OK')	image/jpeg	etag:%22628f20b0-c828%22	https://infobloom.site/wp-content/uploads/2022/05/1653547184_341_From-Picasso-Frida-Kahlo-NFTs-to-a-coin-the-best.jpg	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-content/uploads/2022/05/1653547184_341_From-Picasso-Frida-Kahlo-NFTs-to-a-coin-the-best.jpg	(from https://infobloom.site/from-picasso-frida-kahlo-nfts-to-a-coin-the-best-of-2021-auctions/)
19:41:01	605194/605194	---M--	200	added ('OK')	image/jpeg	etag:%22628f20af-93c0a%22	https://infobloom.site/wp-content/uploads/2022/05/1653547183_301_From-Picasso-Frida-Kahlo-NFTs-to-a-coin-the-best.jpg	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-content/uploads/2022/05/1653547183_301_From-Picasso-Frida-Kahlo-NFTs-to-a-coin-the-best.jpg	(from https://infobloom.site/from-picasso-frida-kahlo-nfts-to-a-coin-the-best-of-2021-auctions/)
19:41:01	44230/44230	---M--	200	added ('OK')	image/jpeg	etag:%22628f20b0-acc6%22	https://infobloom.site/wp-content/uploads/2022/05/1653547184_811_From-Picasso-Frida-Kahlo-NFTs-to-a-coin-the-best.jpg	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-content/uploads/2022/05/1653547184_811_From-Picasso-Frida-Kahlo-NFTs-to-a-coin-the-best.jpg	(from https://infobloom.site/from-picasso-frida-kahlo-nfts-to-a-coin-the-best-of-2021-auctions/)
19:41:02	14968/-1	---M--	200	added ('OK')	application/json	date:Mon,%2011%20Jul%202022%2016:41:01%20GMT	https://infobloom.site/wp-json/wp/v2/posts/1153	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-json/wp/v2/posts/1153.json	(from https://infobloom.site/nfts-and-crypto-art-kichi-japanese-cafe/)
19:41:02	1010565/1010565	---M--	200	added ('OK')	image/png	etag:%22628f20b2-f6b85%22	https://infobloom.site/wp-content/uploads/2022/05/arte-1.png	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-content/uploads/2022/05/arte-1.png	(from https://infobloom.site/from-picasso-frida-kahlo-nfts-to-a-coin-the-best-of-2021-auctions/)
19:41:03	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Jul%202022%2016:41:02%20GMT	https://infobloom.site/?p=1153	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/index3f85.html	(from https://infobloom.site/nfts-and-crypto-art-kichi-japanese-cafe/)
19:41:03	2577/-1	---M--	200	added ('OK')	application/json	date:Mon,%2011%20Jul%202022%2016:41:02%20GMT	https://infobloom.site/wp-json/oembed/1.0/embed?url=https%3A%2F%2Finfobloom.site%2Fnfts-and-crypto-art-kichi-japanese-cafe%2F	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-json/oembed/1.0/embed3e64.json	(from https://infobloom.site/nfts-and-crypto-art-kichi-japanese-cafe/)
